,Unnamed: 0,unix_s,low,high,open,close,volume,UTC_datetime,Beijing_datetime
97,97,1677110400,23610.16,24594.53,24185.37,23938.93,1115.50277601,2023-02-23,2023-02-23 08:00:00
96,96,1677196800,22840.88,24127.6,23940.8,23181.43,961.0508276,2023-02-24,2023-02-24 08:00:00
95,95,1677283200,22741.45,23213.92,23183.52,23158.56,368.84268924,2023-02-25,2023-02-25 08:00:00
94,94,1677369600,23062.18,23684.0,23155.14,23553.27,321.1819071,2023-02-26,2023-02-26 08:00:00
93,93,1677456000,23112.31,23893.1,23555.8,23488.67,778.5581282,2023-02-27,2023-02-27 08:00:00
92,92,1677542400,23025.61,23597.1,23489.39,23139.27,503.1587299,2023-02-28,2023-02-28 08:00:00
91,91,1677628800,23022.61,24000.0,23143.31,23629.21,596.04393649,2023-03-01,2023-03-01 08:00:00
90,90,1677715200,23195.03,23791.72,23629.6,23469.02,377.24342202,2023-03-02,2023-03-02 08:00:00
89,89,1677801600,21970.54,23475.31,23469.03,22345.46,943.09275311,2023-03-03,2023-03-03 08:00:00
88,88,1677888000,22167.14,22410.0,22341.15,22341.0,89.42319991,2023-03-04,2023-03-04 08:00:00
87,87,1677974400,22200.0,22652.39,22345.46,22422.49,189.70358164,2023-03-05,2023-03-05 08:00:00
86,86,1678060800,22260.27,22598.27,22418.11,22411.03,316.70185452,2023-03-06,2023-03-06 08:00:00
85,85,1678147200,21931.0,22553.59,22411.04,22199.99,502.90892698,2023-03-07,2023-03-07 08:00:00
84,84,1678233600,21561.01,22280.51,22194.29,21706.89,531.75564685,2023-03-08,2023-03-08 08:00:00
83,83,1678320000,20044.88,21834.71,21713.54,20369.09,688.70461421,2023-03-09,2023-03-09 08:00:00
82,82,1678406400,19562.97,20361.68,20361.15,20150.04,1121.91658682,2023-03-10,2023-03-10 08:00:00
81,81,1678492800,19776.01,20682.53,20154.15,20458.94,1076.50963473,2023-03-11,2023-03-11 08:00:00
80,80,1678579200,20267.33,22118.66,20455.13,22022.01,810.0311873,2023-03-12,2023-03-12 08:00:00
79,79,1678665600,21813.93,24577.07,22030.76,24120.15,1337.09206829,2023-03-13,2023-03-13 08:00:00
78,78,1678752000,23980.84,26386.3,24136.62,24677.79,1480.43658022,2023-03-14,2023-03-14 08:00:00
77,77,1678838400,23450.0,25175.49,24676.36,24281.65,1814.95523957,2023-03-15,2023-03-15 08:00:00
76,76,1678924800,24126.39,25166.02,24276.4,25004.97,1170.06310248,2023-03-16,2023-03-16 08:00:00
75,75,1679011200,24892.83,27748.42,24990.03,27389.95,2020.40492101,2023-03-17,2023-03-17 08:00:00
74,74,1679097600,26568.61,27720.23,27396.75,26914.32,915.10085991,2023-03-18,2023-03-18 08:00:00
73,73,1679184000,26829.0,28389.08,26922.74,27972.53,812.62034523,2023-03-19,2023-03-19 08:00:00
72,72,1679270400,27131.65,28468.81,27968.43,27718.0,903.31168048,2023-03-20,2023-03-20 08:00:00
71,71,1679356800,27308.0,28433.33,27725.65,28112.13,555.18154689,2023-03-21,2023-03-21 08:00:00
70,70,1679443200,26611.11,29100.0,28101.05,27250.05,1073.40721096,2023-03-22,2023-03-22 08:00:00
69,69,1679529600,27123.75,28752.39,27248.42,28286.65,1009.21314895,2023-03-23,2023-03-23 08:00:00
68,68,1679616000,26994.0,28373.91,28298.17,27460.19,926.65909484,2023-03-24,2023-03-24 08:00:00
67,67,1679702400,27158.24,27789.36,27462.14,27462.69,214.49158713,2023-03-25,2023-03-25 08:00:00
66,66,1679788800,27417.22,28199.28,27461.56,27966.39,333.01649424,2023-03-26,2023-03-26 08:00:00
65,65,1679875200,26511.52,28023.53,27963.46,27126.87,718.95234424,2023-03-27,2023-03-27 08:00:00
64,64,1679961600,26626.93,27522.31,27130.02,27268.1,700.65484399,2023-03-28,2023-03-28 08:00:00
63,63,1680048000,27244.38,28645.09,27271.51,28354.42,1055.23441638,2023-03-29,2023-03-29 08:00:00
62,62,1680134400,27685.83,29180.05,28351.37,28029.05,1464.79653531,2023-03-30,2023-03-30 08:00:00
61,61,1680220800,27509.0,28650.0,28022.0,28467.63,852.44708012,2023-03-31,2023-03-31 08:00:00
60,60,1680307200,28217.25,28815.26,28469.99,28459.02,255.52908532,2023-04-01,2023-04-01 08:00:00
59,59,1680393600,27850.01,28522.25,28460.46,28167.55,245.28111834,2023-04-02,2023-04-02 08:00:00
